city,province,Total (mSv/y),Cosmic radiation (mSv/y),Terrestrial background (mSv/y),Annual inhalation dose (mSv/y),Radionuclides in the body (mSv/y)
Vancouver,BC,1.3,0.5,0.1,0.4,0.3
Toronto,ON,1.6,0.4,0.2,0.8,0.3
Québec City,QC,1.6,0.4,0.2,0.7,0.3
Montreal,QC,1.6,0.4,0.3,0.7,0.3
St-John's,NL,1.6,0.4,0.2,0.7,0.3
CANADA,-,1.8,0.3,0.2,0.9,0.3
Victoria,BC,1.8,0.5,0.1,0.9,0.3
Ottawa,ON,1.8,0.4,0.2,0.9,0.3
Fredericton,NB,1.8,0.3,0.3,0.9,0.3
Charlottetown,PE,1.8,0.3,0.2,0.9,0.3
Whitehorse,YT,1.9,0.5,0.2,0.9,0.3
Iqualuit,NU,1.9,0.5,0.2,0.9,0.3
Edmonton,AB,2.4,0.5,0.3,1.3,0.3
Halifax,NS,2.5,0.3,0.3,1.5,0.3
Yellowknife,NT,3.1,0.4,1.4,0.9,0.3
Regina,SK,3.5,0.4,0.3,2.4,0.3
Winnipeg,MB,4.1,0.4,0.2,3.2,0.3